nationality,playerPositionID,jerseyNumber,playerBirthDay,playerBirthYear,club,playerID,playerFName,playerLName
Argentina,Midfield,17,Apr-26,2001,Atlanta United,0001,Alejandro,Gomez
Argentina,Midfield,20,Dec-24,1998,Brighton,0002,Alexis,Mac Allister
Argentina,Forward,15,Mar-09,1995,Atletico Madrid,0003,Angel,Correa
Argentina,Forward,11,Feb-14,1988,Juventus,0004,Angel,Di Maria
Argentina,Defender,13,Apr-27,1998,Tottenham,0005,Cristian,Romero
Argentina,Goal Keeper,23,Sep-02,1992,Aston Villa,0006,Emiliano,Martinez
Argentina,Midfield,24,Jan-17,2001,Benfica,0007,Enzo,Fernandez
Argentina,Midfield,14,Oct-05,1998,Bayer Leverkusen,0008,Exequiel,Palacios
Argentina,Goal Keeper,1,Oct-16,1986,River,0009,Franco,Armani
Argentina,Defender,6,Jun-27,1991,Real Betis,0010,German,Pezzella
Argentina,Goal Keeper,12,May-20,1992,Villarreal,0011,Geronimo,Rulli
Argentina,Defender,4,Jan-01,1997,Sevilla,0012,Gonzalo,Montiel
Argentina,Midfield,18,Apr-12,1994,Real Betis,0013,Guido,Rodriguez
Argentina,Defender,2,Jan-12,1998,Villarreal,0014,Juan,Foyth
Argentina,Forward,9,Jan-31,2000,Manchester City,0015,Julian,Alvarez
Argentina,Forward,22,Aug-22,1997,Inter,0016,Lautaro,Martinez
Argentina,Midfield,5,Jun-29,1994,Juventus,0017,Leandro,Paredes
Argentina,Forward,10,Jun-24,1987,PSG,0018,Lionel,Messi
Argentina,Defender,25,Jan-18,1998,Manchester United,0019,Lisandro,Martinez
Argentina,Defender,8,Oct-28,1991,Sevilla,0020,Marcos,Acuna
Argentina,Defender,26,Apr-06,1998,Atletico Madrid,0021,Nahuel,Molina
Argentina,Defender,19,Feb-12,1988,Benfica,0022,Nicolas,Otamendi
Argentina,Defender,3,Aug-31,1992,Lyon,0023,Nicolas,Tagliafico
Argentina,Forward,21,Nov-15,1993,Roma,0024,Paulo,Dybala
Argentina,Midfield,7,May-24,1994,Atletico Madrid,0025,Rodrigo,De Paul
Argentina,Forward,16,Apr-26,2001,Inter,0026,Thiago,Almada
Australia,Midfield,13,Sep-15,1990,Celtic,0027,Aaron,Mooy
Australia,Midfield,10,Jul-05,1996,Hellas Verona,0028,Ajdin,Hrustic
Australia,Goal Keeper,12,Jan-13,1989,Sydney,0029,Andrew,Redmayne
Australia,Forward,11,Sep-15,1995,Cadiz,0030,Awer,Mabil
Australia,Defender,16,Oct-16,1990,Dundee United,0031,Aziz,Behic
Australia,Defender,8,Jul-28,1992,Sunderland,0032,Bailey,Wright
Australia,Midfield,17,Jun-07,1998,Hearts,0033,Cameron,Devlin
Australia,Forward,23,Dec-16,1991,Adelaide United,0034,Craig,Goodwin
Australia,Goal Keeper,18,Mar-27,1985,Central Coast Mariners,0035,Danny,Vukovic
Australia,Defender,5,May-12,1996,Brescia,0036,Fran,Karacic
Australia,Forward,21,Sep-15,2004,Central Coast Mariners,0037,Garang,Kuol
Australia,Defender,19,Oct-22,1998,Stoke City,0038,Harry,Souttar
Australia,Midfield,22,Mar-07,1993,St Pauli,0039,Jackson,Irvine
Australia,Forward,9,Jul-29,1993,Melbourne City,0040,Jamie,Maclaren
Australia,Forward,25,Aug-01,1995,Central Coast Mariners,0041,Jason,Cummings
Australia,Defender,24,Oct-30,2000,OB,0042,Joel,King
Australia,Midfield,26,Jun-07,1998,St Mirren,0043,Keanu,Baccus
Australia,Defender,4,Jun-24,1998,Hearts,0044,Kye,Rowles
Australia,Forward,6,Apr-25,1993,Hibernian,0045,Marco,Tilio
Australia,Goal Keeper,1,Apr-08,1992,Copenhagen,0046,Mat,Ryan
Australia,Forward,7,Feb-04,1991,Melbourne City,0047,Mathew,Leckie
Australia,Defender,2,Apr-28,1994,Columbus Crew,0048,Milos,Degenek
Australia,Forward,15,Jan-18,1991,Fagiano Okayama,0049,Mitchell,Duke
Australia,Defender,3,Jun-13,1999,Hearts,0050,Nathaniel,Atkinson
Australia,Midfield,14,Nov-02,1998,Middlesbrough,0051,Riley,McGree
Australia,Defender,20,Mar-20,1997,Albirex Niigata,0052,Thomas,Deng
Belgium,Defender,3,May-25,2000,Rennes,0053,Arthur,Theate
Belgium,Midfield,6,Jan-12,1989,Atletico Madrid,0054,Axel,Witsel
Belgium,Midfield,22,Mar-10,2001,AC Milan,0055,Charles,De Ketelaere
Belgium,Forward,14,May-06,1987,Galatasaray,0056,Dries,Mertens
Belgium,Forward,10,Jan-07,1991,Real Madrid,0057,Eden,Hazard
Belgium,Midfield,20,Aug-24,1992,Club Brugge,0058,Hans,Vanaken
Belgium,Defender,5,Apr-24,1987,Anderlecht,0059,Jan,Vertonghen
Belgium,Forward,25,May-27,2002,Rennes,0060,Jeremy,Doku
Belgium,Midfield,7,Jun-28,1991,Manchester City,0061,Kevin,De Bruyne
Belgium,Goal Keeper,13,Jun-25,1992,Wolfsburg,0062,Koen,Casteels
Belgium,Midfield,19,Apr-15,1995,Aston Villa,0063,Leander,Dendoncker
Belgium,Forward,17,Dec-04,1994,Brighton,0064,Leandro,Trossard
Belgium,Forward,24,Feb-16,2000,Lens,0065,Lois,Openda
Belgium,Forward,23,Oct-02,1993,Fenerbahce,0066,Michy,Batshuayi
Belgium,Forward,9,May-13,1993,Inter,0067,Romelu,Lukaku
Belgium,Goal Keeper,12,Mar-06,1988,Club Brugge,0068,Simon,Mignolet
Belgium,Goal Keeper,1,May-11,1992,Real Madrid,0069,Thibaut,Courtois
Belgium,Defender,15,Sep-12,1991,Borussia Dortmund,0070,Thomas,Meunier
Belgium,Midfield,16,Mar-29,1993,Borussia Dortmund,0071,Thorgan,Hazard
Belgium,Defender,21,Dec-05,1995,Leicester,0072,Timothy,Castagne
Belgium,Defender,2,Mar-02,1989,Antwerp,0073,Toby,Alderweireld
Belgium,Defender,4,Apr-03,1998,Leicester City,0074,Wout,Faes
Belgium,Midfield,11,Sep-04,1993,Atletico Madrid,0075,Yannick,Carrasco
Belgium,Midfield,8,May-07,1997,Leicester City,0076,Youri,Tielemans
Belgium,Defender,26,Oct-24,2003,Anderlecht,0077,Zeno,Debast
Brazil,Defender,6,Jan-26,1991,Juventus,0078,Alex,Sandro
Brazil,Defender,16,Dec-15,1992,Sevilla,0079,Alex,Telles
Brazil,Goal Keeper,1,Oct-02,1992,Liverpool,0080,Alisson,none
Brazil,Forward,19,Feb-24,2000,Manchester United,0081,Antony,none
Brazil,Defender,24,Mar-18,1997,Juventus,0082,Bremer,none
Brazil,Midfield,17,Nov-16,1997,Newcastle United,0083,Bruno,Guimaraes
Brazil,Midfield,5,Feb-23,1992,Manchester United,0084,Casemiro,none
Brazil,Defender,13,May-06,1983,UNAM,0085,Dani,Alves
Brazil,Defender,2,Jul-15,1991,Juventus,0086,Danilo,none
Brazil,Defender,14,Jan-18,1998,Real Madrid,0087,Eder,Militao
Brazil,Goal Keeper,23,Aug-17,1993,Manchester City,0088,Ederson,none
Brazil,Midfield,22,Apr-10,1989,Flamengo,0089,Everton,Ribeiro
Brazil,Midfield,15,Oct-23,1993,Liverpool,0090,Fabinho,none
Brazil,Midfield,8,Mar-05,1993,Manchester United,0091,Fred,none
Brazil,Forward,18,Apr-03,1997,Arsenal,0092,Gabriel,Jesus
Brazil,Forward,26,Jun-18,2001,Arsenal,0093,Gabriel,Matinelli
Brazil,Midfield,7,Aug-27,1997,West Ham United,0094,Lucas,Paqueta
Brazil,Defender,4,May-14,1994,PSG,0095,Marquinhos,none
Brazil,Forward,10,Feb-05,1992,PSG,0096,Neymar,none
Brazil,Forward,25,Jun-20,1997,Flamengo,0097,Pedro,none
Brazil,Forward,11,Dec-14,1996,Barcelona,0098,Raphinha,none
Brazil,Forward,9,May-10,1997,Tottenham,0099,Richarlison,none
Brazil,Forward,21,Jan-09,2001,Real Madrid,0100,Rodrygo,none
Brazil,Defender,3,Sep-22,1984,Chelsea,0101,Thiago,Silva
Brazil,Forward,20,Jul-12,2000,Real Madrid,0102,Vinicius,Jr
Brazil,Goal Keeper,12,Dec-13,1987,Palmeiras,0103,Weverton,none
Cameroon,Goal Keeper,23,Apr-02,1996,Inter,0104,Andre,Onana
Cameroon,Midfield,8,Nov-16,1995,Napoli,0105,Andre-Frank,Zambo Anguissa
Cameroon,Forward,20,Aug-07,1995,Brentford,0106,Bryan,Mbeumo
Cameroon,Forward,11,Oct-18,1995,Shanghai Shenhua,0107,Christian,Bassogog
Cameroon,Defender,4,Sep-18,2001,Rennes,0108,Christopher,Wooh
Cameroon,Defender,19,Aug-13,1992,Al-Tai,0109,Collins,Fai
Cameroon,Goal Keeper,16,Feb-02,1993,Abha,0110,Davis,Epassy
Cameroon,Defender,24,Mar-11,1999,Udinese,0111,Enzo,Ebosse
Cameroon,Forward,13,Mar-23,1989,Bayern Munich,0112,Eric,Maxim Choupo-Moting
Cameroon,Midfield,5,Nov-04,1995,Hannover,0113,Gael,Ondoua
Cameroon,Forward,7,Feb-13,1995,Besiktas,0114,Georges-Kevin,Nkoudou
Cameroon,Defender,21,Jan-26,1995,Nantes,0115,Jean,Charles Castelletto
Cameroon,Forward,9,May-01,1993,Young Boys,0116,JeanN.APierre,Nsame
Cameroon,Midfield,2,Sep-30,1998,San Diego Loyal SC,0117,Jerome,Ngom
Cameroon,Forward,12,Sep-14,1992,Lyon,0118,Karl,Toko Ekambi
Cameroon,Forward,6,Jul-09,1994,Dynamo Moscow,0119,Moumi,Ngamaleu
Cameroon,Defender,25,Jun-23,1997,Seattle Sounders,0120,Nouhou,Tolo
Cameroon,Defender,17,Aug-15,1997,Philadelphia Union,0121,Olivier,Mbaizo
Cameroon,Midfield,22,Feb-09,1996,Swansea City,0122,Olivier,Ntcham
Cameroon,Midfield,15,Jul-26,1995,Olympiacos,0123,Pierre,Kunde
Cameroon,Midfield,14,Dec-14,1997,Mechelen,0124,Samuel,Gouet
Cameroon,Goal Keeper,1,Apr-12,1993,Marseille,0125,Simon,Ngapandouetnbu
Cameroon,Forward,26,Dec-03,2000,Coton Sport de Garoua,0126,Souaibou,Marou
Cameroon,Forward,10,Jan-22,1992,Al-Nassr,0127,Vincent,Aboubakar
Canada,Defender,2,Oct-08,1998,Celtic,0128,Alistair,Johnson
Canada,Forward,19,Nov-02,2000,Bayern Munich,0129,Alphonso,Davies
Canada,Midfield,13,Feb-08,1983,Besiktas,0130,Atiba,Hutchinson
Canada,Forward,17,Apr-17,1995,Club Brugge,0131,Cyle,Larin
Canada,Midfield,24,Jan-16,1990,St. Johnstone,0132,David,Wotherspoon
Canada,Goal Keeper,1,May-09,1997,Minnesota United,0133,Dayne,St Clair
Canada,Defender,25,Nov-25,1997,Panaitolikos,0134,Derek,Cornelius
Canada,Forward,12,Sep-21,1998,Troyes,0135,Ike,Ugbo
Canada,Midfield,15,Jun-06,2002,Watford,0136,Ismael,Kone
Canada,Goal Keeper,16,Feb-21,1997,CF Montreal ,0137,James,Paternis
Canada,Defender,26,Jan-24,1996,Montreal Impact,0138,Joel,Waterman
Canada,Forward,20,Jan-14,2000,Lille,0139,Jonathan,David
Canada,Midfield,21,Jun-12,1992,Toronto,0140,Jonathan,Osorio
Canada,Forward,10,Jun-05,1990,Reading,0141,Junior,Hoilett
Canada,Defender,4,May-16,1997,Montreal Impact,0142,Kamal,Miller
Canada,Midfield,8,Feb-13,1998,KMSK Deinze,0143,Liam,Fraser
Canada,Forward,23,Sep-27,1999,Basel,0144,Liam,Millar
Canada,Forward,9,Dec-28,1992,Vancouver Whitecaps,0145,Lucas,Cavallini
Canada,Midfield,14,Dec-04,1994,Toronto,0146,Mark-Anthony,Kaye
Canada,Goal Keeper,18,Oct-23,1987,Red Star Belgrade,0147,Milan,Borjan
Canada,Defender,22,Jan-07,1995,Toronto,0148,Richie,Laryea
Canada,Defender,3,Jan-16,1995,Hatayspor,0149,Sam,Adekugbe
Canada,Midfield,6,Nov-12,1994,Montreal Impact,0150,Samuel,Piette
Canada,Midfield,7,Dec-21,1996,Porto,0151,Stephen,Eustaquio
Canada,Defender,5,Jan-11,1987,GD Chaves,0152,Steven,Vitória
Canada,Forward,11,Feb-08,1999,Club Brugge,0153,Tajon,Buchanan
